mode,threshold,k_consecutive,cooldown_sec,alarms_per_hour,alert_rate_per_window,q50,q90,q95,q99,qmax,usable_window_rate,latency_ms_per_window_mean,latency_ms_per_window_p95,sample_precision,sample_recall,sample_f1,window_f1,event_hit_rate,ttd_mean_sec,ttd_p95_sec,ttd_detected,ttd_total_anomaly,injection_types,gate_if_only_rate,gate_ae_only_rate,gate_both_rate,sample_f1_ci_low,sample_f1_ci_high,alarms_per_hour_ci_low,alarms_per_hour_ci_high
HYBRID,0.795981228351593,2,60,1.7203764881879948,0.038461538461538464,0.0183763018054613,0.33760087493015184,0.663171313396096,1.0,1.0,1.0,71.5104907327101,92.01642501866442,0.5,0.8333333333333334,0.625,0.3037974683544304,0.8333333333333334,115.21999999999998,458.77999999999986,5,6,"coolant_overheat,rpm_spike,stall_suspect,throttle_mismatch",0.0,0.8083228247162674,0.19167717528373265,0.25,0.8571428571428572,0.1698770403829619,3.8829545783185666
IF_ONLY,0.795981228351593,2,60,2.8423611543975564,0.05233291298865069,0.43733111695976046,0.5296883149595241,0.8476096896040317,0.9013446575168956,0.9327734752758172,1.0,18.41871140248637,25.800319929840033,0.35714285714285715,0.8333333333333334,0.5,0.04597701149425287,0.8333333333333334,1035.9,3178.4599999999996,5,6,"coolant_overheat,rpm_spike,stall_suspect,throttle_mismatch",1.0,0.0,0.0,0.14285714285714285,0.7437499999999996,0.8116646000530172,5.644480388334852
AE_ONLY,0.795981228351593,2,60,1.7203764881879948,0.03909205548549811,4.408703733441237e-05,0.14771891553625785,0.663171313396096,1.0,1.0,1.0,80.1755416638877,105.74657499091697,0.5454545454545454,1.0,0.7058823529411764,0.325,1.0,98.18333333333332,432.69999999999993,6,6,"coolant_overheat,rpm_spike,stall_suspect,throttle_mismatch",0.0,1.0,0.0,0.4,0.9,0.1678094211334036,3.833187405803058
